tag,plate,totalowed
vanity,4RAYRUE,2936.1799999999994
vanity,GOS07,2911.2699999999995
vanity,MIKA57,2890.5200000000004
vanity,BBTILE,2880
vanity,T8Z,2876.01
vanity,407RN,2872.8
vanity,JAFJR,2870.8000000000006
vanity,BIKESMTH,2858.5699999999997
vanity,SADBOY,2851.19
vanity,SOEASY,2818.64
vanity,JOCK33,2805.34
vanity,TSXRATED,2799.0599999999995
vanity,711PETEY,2797.4599999999996
vanity,ABOUTMOI,2760.98
vanity,MORESWAG,2713.7400000000002
vanity,1FAST84,2695.39
vanity,2EZ2SPD,2695.39
vanity,GMN0858,2668.97
vanity,535MMM,2665.8899999999994
vanity,PEARLCON,2660
vanity,SPOYLE,2638.4100000000003
vanity,W603HK,2637.56
vanity,FISHUNT,2620.9199999999996
vanity,TOOBOBOC,2620
vanity,MRGE,2604.62
vanity,WEBEAUDI,2603.0599999999995
vanity,QJRNY,2602.9399999999996
vanity,NYCQJR,2602.9399999999996
vanity,SIFATH,2602.71
vanity,MWSPARK,2601.3799999999997
vanity,WORSHP,2581.54
vanity,SRT8UP,2560.1000000000004
vanity,IG007,2545.2400000000002
vanity,FHNSTK,2540
vanity,IMABOS,2538.0099999999998
vanity,SULTN786,2527.36
vanity,PEI247,2520.17
vanity,BXLPZ,2500.5099999999998
vanity,6SAPPEAL,2495
vanity,YITZTRUK,2492.8900000000003
vanity,TW3STD,2492.58
vanity,JULLEISA,2479.4
vanity,MIMONIE,2478.65
vanity,FJS,2474.14
vanity,GRPATR33,2469.0200000000004
vanity,XAWOLX,2463.63
vanity,PHAMEOUS,2461.44
vanity,MELMOMMY,2454.62
vanity,HPS1SNOI,2445
vanity,PJP4045,2445
vanity,NOWONDER,2445
vanity,NOWANDER,2445
vanity,ILOOK,2445
vanity,PALESQ,2423.67
vanity,IKNOWHA,2399.25
vanity,JEMZ1OG,2392.8499999999995
vanity,NOT2FEAR,2392.3100000000004
vanity,DSTAAR,2385.89
vanity,PHILYPA,2371.7599999999998
vanity,GY,2356.2
vanity,MADHU,2348.35
vanity,MADHU3,2348.35
vanity,MADHU2,2348.35
vanity,MADHU4,2348.35
vanity,MORVANT,2338.72
vanity,MAGNIS2,2336.73
vanity,ALOOSH,2335
vanity,IZEDI,2326.04
vanity,BIG422,2321.2900000000004
vanity,C0H549O,2320
vanity,BABEFLO,2315.91
vanity,IMJAKE,2315
vanity,BCI2020,2315
vanity,PWRHAUS,2315
vanity,NAVYDVR,2313.4799999999996
vanity,DGIFTED1,2307.41
vanity,HOPE1378,2306.5099999999998
vanity,YJY920,2299.2099999999996
vanity,119TU823,2297.8700000000003
vanity,IDONTNVU,2297.4
vanity,LMATATAN,2297.4
vanity,MENA,2281.21
vanity,BEYOGLU,2281.02
vanity,CALIK,2281.02
vanity,JUSTCRUZ,2268.24
vanity,KINGJTB,2255
vanity,VIP24,2240
vanity,MRCOO,2238.42
vanity,AMER27,2238.33
vanity,JIMMYG2,2225
vanity,22SHOTZ,2214.25
vanity,DONUTS2,2211.71
vanity,DONUTS3,2211.71
vanity,PS133,2205.8999999999996
vanity,1BAD40H,2202.02
vanity,1BAD50H,2202.02
vanity,51GR31,2196.9300000000003
vanity,BURSER,2172.92
vanity,FIERI,2168.31
vanity,WLDACE,2160.31
vanity,ABCEVC,2160.1
vanity,SI28TION,2147.98
vanity,MBLUVN,2141.89
vanity,FOREVERR,2140.93
vanity,LSA7,2138.4700000000007
vanity,ZXXXII,2132.3999999999996
vanity,RDNY9,2130
vanity,LYKEDAT,2127.25
vanity,ERICA30,2127.09
vanity,2GOOD5,2122.8100000000004
vanity,IBULDNY,2115.87
vanity,GDWIFE,2115.74
vanity,ST3570,2112.0799999999995
vanity,PLUMSHKR,2107.17
vanity,MPEREZ,2096.68
vanity,FCS310,2086.72
vanity,J1MMYG,2080
vanity,WASTEAWY,2078.78
vanity,FASTGUYR,2071.99
vanity,01LL777,2070
vanity,2B1ASK,2067.5299999999997
vanity,DAVID592,2066.88
vanity,SAMIRA,2057.38
vanity,LIKEHOME,2052.54
vanity,SCOTTPHD,2052.54
vanity,SKYLYN,2044.86
vanity,RAYSK,2040.7
vanity,2311AVEZ,2038.7699999999998
vanity,MRSUAZO,2032.62
vanity,VIIRM10,2030.4
vanity,OHMOE,2026.3
vanity,JSB5,2012.82
vanity,DJFEG,2010.5599999999997
vanity,DEMSROCK,2010
vanity,STAFREE,2002.77
vanity,SWIZBANX,2002.56
vanity,BKBULL,2002
vanity,BKLYNWAY,2000.82
vanity,BIGREDNB,1985.94
vanity,EYUBOGLU,1980.84
