plate,totalowed
T685622C,4975.1
T799640C,4975.1
5A54J,4950.66
8N89B,4936.899999999999
8N90B,4936.899999999999
T803648C,4930
T721939C,4930
T748837C,4930
T706315C,4930
T748808C,4930
T700969C,4903.4400000000005
T695801C,4903.4400000000005
T725587C,4876.1900000000005
T758810C,4876.1900000000005
T711787C,4876.1900000000005
T802227C,4876.1900000000005
T718203C,4876.1900000000005
T748544C,4876.1900000000005
T763924C,4876.1900000000005
T100316C,4860.610000000001
T100315C,4860.610000000001
T100314C,4860.610000000001
T785273C,4860.610000000001
T101815C,4860.610000000001
T100320C,4860.610000000001
T101787C,4838.34
8J83C,4834
5L32C,4834
9L10C,4821.9000000000015
9L11C,4821.9000000000015
T712643C,4820.43
T102782C,4788.470000000001
MOMCUCHA,4734.02
1H11B,4654.4400000000005
1H10B,4654.4400000000005
T781970C,4650
T695387C,4646.9
T795803C,4618.3
1T19A,4617.76
NYCULAE,4575
T781512C,4575
T783131C,4535.5599999999995
T763734C,4535.5599999999995
8N63C,4515.41
8N62C,4515.41
T779281C,4460
T715900C,4460
T749781C,4460
T658371C,4460
T715782C,4460
T715783C,4460
T658173C,4460
T685074C,4460
T695152C,4460
T677614C,4460
T694873C,4460
T784567C,4460
T807675C,4460
T768967C,4460
T779351C,4460
T677613C,4460
T641859C,4460
T753596C,4460
T694808C,4460
T779280C,4460
T663995C,4460
T752607C,4460
T649817C,4460
T663974C,4460
T749780C,4460
T750696C,4460
T689260C,4460
T663908C,4460
T716089C,4460
T694744C,4460
T774159C,4451.63
1997AOY,4450.01
9F61C,4432.17
T726613C,4404.719999999999
T754234C,4404.719999999999
ELITE93,4404.719999999999
T763471C,4404.719999999999
T705878C,4404.719999999999
T681338C,4403.57
T738773C,4370
9M23H,4352.000000000001
9M24J,4352.000000000001
T807112C,4351.42
T781087C,4350.21
T793566C,4348.59
T705321C,4314.3099999999995
8N15J,4310.79
8N14H,4310.79
8N13H,4310.79
VILGATE9,4253.6
T755799C,4234.6
3M53A,4119.029999999999
3M54B,4119.029999999999
T775796C,4105
T775600C,4105
T785623C,4105
T775598C,4105
T775725C,4105
T785667C,4105
T775780C,4105
T785624C,4105
T775657C,4105
T775791C,4105
T755565C,4105
T775789C,4105
T776122C,4105
T808298C,4105
T785625C,4105
T775639C,4105
T787576C,4105
T775599C,4105
T755496C,4105
T800106C,4092.45
8G72H,4090.28
8G70A,4090.28
T802209C,4089.12
T713286C,4069.31
T800985C,4069.31
T806731C,4069.31
T718392C,4069.31
T806829C,4069.31
T751050C,4069.31
T805003C,4069.31
T768503C,4064.709999999999
T514281C,4045.6
T771602C,4045.6
T755582C,4040.5
T757203C,4040.01
T800211C,4031.12
T777663C,4031.12
T682139C,4030.73
T780056C,4030.73
T715812C,4030.73
T704257C,4030.73
T796428C,4026.2799999999997
6N19H,4016.2400000000002
6N20B,4016.2400000000002
T769039C,3985.6
T707758C,3980.56
T643402C,3975
T751183C,3975
T750913C,3975
1H44A,3969.3199999999997
1H43A,3969.3199999999997
T102470C,3948.43
4K82C,3939.5500000000006
4K81B,3939.5500000000006
T800843C,3932.3199999999997
T713390C,3932.3199999999997
RAYKING,3925.3
T763198C,3917.2799999999997
T689854C,3910.4200000000005
T789155C,3905.2700000000004
T693158C,3905
7G10A,3886.6399999999994
7G50J,3886.6399999999994
T796445C,3878.06
3P17H,3876.3099999999995
3P18J,3876.3099999999995
3G19B,3858.6899999999996
T749909C,3851.0699999999997
T768392C,3851.0699999999997
T779978C,3851.0699999999997
T723224C,3851.0699999999997
T782288C,3850.54
9M20C,3843.72
T745525C,3823.1800000000003
9J92B,3807.8099999999995
9J91D,3807.8099999999995
T791754C,3806.2
T779401C,3800.13
T784139C,3800.13
T784141C,3800.13
T784142C,3800.13
T783531C,3800.13
T755921C,3800.13
T755455C,3800.13
T755550C,3800.13
T692753C,3800.13
T784138C,3800.13
T768241C,3776.77
T747436C,3745
JZY13,3697.3
9V50J,3690.0899999999992
9V51H,3690.0899999999992
T794674C,3652.1900000000005
T806960C,3599.95
1J47H,3586.129999999999
1J48E,3586.129999999999
T650968C,3580
T706876C,3580
T689466C,3573.17
9N11H,3570.8600000000006
1P11H,3570.8600000000006
3P92B,3566.5599999999995
3P91H,3566.5599999999995
T802112C,3560.8199999999997
T758257C,3509.0300000000007
T734212C,3505
T627417C,3505
T761280C,3505
T785836C,3505
T785969C,3505
T804395C,3505
T717771C,3505
T654745C,3505
T804255C,3505
T751746C,3505
T750974C,3505
T806529C,3505
T102234C,3505
T102383C,3460
T800089C,3460
T703412C,3456.21
T703556C,3456.21
MEDINA1,3455
T758508C,3445.3
T763839C,3445.3
T747909C,3445.3
T747908C,3445.3
T102955C,3435
T669501C,3430.53
T711641C,3430.26
T711640C,3430.26
T792889C,3430.26
T651086C,3428.1400000000003
J01M16,3418.27
T102356C,3415
T102833C,3415
KAMRUL,3411.71
T756854C,3392.44
T732387C,3392.44
T679848C,3392.44
T670171C,3392.44
T794594C,3392.44
T756870C,3392.44
T681642C,3392.44
T756806C,3392.44
T676833C,3392.44
T757135C,3392.44
T756850C,3392.44
T707913C,3392.44
T756849C,3392.44
T689979C,3392.44
T672474C,3392.44
T764657C,3391.58
T783000C,3368.84
T103793C,3364.98
T793409C,3355.14
4K29B,3355.0299999999997
5J76H,3343.9599999999996
5J75H,3343.9599999999996
T806862C,3340.56
T697214C,3291.32
T795931C,3290
T786403C,3290
T786053C,3290
T806337C,3290
T796833C,3281.52
T780430C,3280.48
5J66A,3278.4300000000003
5J67B,3278.4300000000003
7M66D,3253.72
7M67J,3253.72
T101508C,3243.15
T790613C,3235
3N22B,3234.29
3N21B,3234.29
T805139C,3233.6
T714834C,3225.09
T762400C,3220.59
T773921C,3220.59
T762448C,3220.59
T102921C,3220.59
T636259C,3220
T727511C,3217.56
T776894C,3216.8
T725523C,3215
T689089C,3215
T697484C,3215
T735766C,3215
T697483C,3215
T727291C,3215
T633508C,3215
T652477C,3215
T789544C,3215
T664536C,3215
T794841C,3215
T611227C,3215
T674684C,3215
T664280C,3215
T759119C,3215
T791148C,3215
T608556C,3215
T796051C,3215
T664537C,3215
T689090C,3215
T802330C,3215
T784801C,3215
T635655C,3215
T718824C,3214.02
T722431C,3214.02
T772375C,3214.02
T668542C,3214.02
T674723C,3214.02
T748412C,3214.02
T718293C,3214.02
T772801C,3214.02
9K18C,3190.3700000000003
9K17B,3190.3700000000003
T652157C,3190
T804973C,3188.8100000000004
T770009C,3181.88
T101552C,3164.3300000000013
T756142C,3156.8
6E61E,3154.8699999999994
T796700C,3150
T806148C,3140.04
T785938C,3140.04
T785939C,3140.04
T719444C,3140.04
T785936C,3140.04
T774073C,3138.4800000000005
5K99H,3130.13
5K98A,3130.13
Y100527C,3130.13
T665470C,3104.44
T779107C,3097.59
T785707C,3091.73
2V22H,3090.66
2V23A,3090.66
T760680C,3089.61
T751124C,3089.61
T771155C,3089.61
T751032C,3089.61
T760715C,3089.61
T777811C,3089.61
T741825C,3089.61
T785582C,3089.61
T777812C,3089.61
T783938C,3089.61
T751465C,3089.61
T783939C,3089.61
T761456C,3089.61
T807417C,3089.61
T741906C,3089.61
T795941C,3081.85
7J16A,3071.0799999999995
7J15B,3071.0799999999995
T806195C,3056.38
T775961C,3043.4900000000007
9V10A,3040.65
9V11H,3040.65
T637592C,3040
T784174C,3025
T729131C,3025
T784168C,3025
1R96H,3016.34
8D20H,3006.33
T715907C,2997.79
T738150C,2995
T729209C,2995
T102911C,2995
T793951C,2995
T743419C,2995
T794599C,2995
T733036C,2995
T789304C,2995
T743522C,2995
T773069C,2995
T753877C,2995
T733133C,2995
T738070C,2995
9K90H,2990.03
T750280C,2969.4300000000003
T678322C,2964.56
T768425C,2963.94
T760169C,2960.81
T739097C,2960
T658299C,2960
T674389C,2942.98
T743258C,2926.9900000000002
T101481C,2921.9699999999993
NYC01,2920
T736643C,2916.3899999999994
T713145C,2910
T742681C,2910
T713147C,2910
T713143C,2910
T713142C,2910
T742827C,2910
T742752C,2910
T742682C,2910
T713148C,2910
T742828C,2910
T750920C,2910
T713144C,2910
